"","Aracaju","Belém","Belo Horizonte","Brasília","Campo Grande","Cuiabá","Curitiba","Florianópolis","Fortaleza","Boa Vista","Maceió","Goiânia","Palmas","Manaus","João Pessoa","Natal","Porto Alegre","Porto Velho","Recife","Rio de Janeiro","Salvador","Rio Branco","São Luís","São Paulo","Teresina","Vitória","capital_origem"
"Aracaju",0,2385.86,1538.7,1641.5,2684.93,2703.28,2559.29,2845.79,1213.95,5779.05,273.56,1843.85,2452.04,5033.69,621.93,793.42,3291.03,4148.69,501.32,1825.24,327.17,4655.36,1906.76,2124.1,1479.11,1500.28,"Aracaju"
"Belém",2385.86,0,2607.13,2022.21,2149.19,2478.47,2461.06,2747.57,1502.09,4184.19,2317.23,2001.16,1211.67,3438.83,2182.29,2045.18,3193.55,2553.83,2061.68,2449.29,2058.69,3063.05,793.17,2020.98,906.8,2969.05,"Belém"
"Belo Horizonte",1538.7,2607.13,0,744.64,1269.53,1589.11,1020.59,1307.09,2315.97,4662.03,1792.93,875.05,1395.46,3916.67,2139.11,2223.64,1753.08,3031.67,2020.69,438.21,1343.27,3540.89,2407.34,586.15,2019.31,514.24,"Belo Horizonte"
"Brasília",1641.5,2022.21,744.64,0,1046.39,1065.38,1341.17,1643.04,1933.31,4138.39,1895.74,206.01,810.54,3393.03,2241.91,2217.23,2030.34,2508.03,2123.5,1174.44,1446.08,3013.86,2012.63,1018.53,1683.71,1249.29,"Brasília"
"Campo Grande",2684.93,2149.19,1269.53,1046.39,0,704.32,1002.28,1304.15,2976.73,3777.29,2833.77,841.08,937.52,3031.93,3182.14,3263.62,1422.86,2146.93,3061.53,1438.34,2489.5,2656.15,2942.36,993.29,2730.1,1783.77,"Campo Grande"
"Cuiabá",2703.28,2478.47,1589.11,1065.38,704.32,0,1672.11,1973.98,2998.69,3075.77,2961.12,898.6,1641.46,2330.41,3303.71,3278.99,2126.8,1445.41,3185.21,1953.69,2511.46,1954.63,3078.01,1531.93,2745.28,2102.59,"Cuiabá"
"Curitiba",2559.29,2461.06,1020.59,1341.17,1002.28,1672.11,0,301.87,3227.51,4745.07,2812.8,1198.66,1249.39,3999.71,3159.03,3244.23,747.86,3114.71,3040.56,868.39,2363.14,3623.93,3254.23,440.08,3024.88,1374.04,"Curitiba"
"Florianópolis",2845.79,2747.57,1307.09,1643.04,1304.15,1973.98,301.87,0,3529.38,5046.94,3100.02,1500.53,1535.9,4301.58,3446.2,3530.73,459.02,3416.58,3327.78,1154.9,2649.74,3925.8,3540.74,726.59,3326.4,1660.55,"Florianópolis"
"Fortaleza",1213.95,1502.09,2315.97,1933.31,2976.73,2998.69,3227.51,3529.38,0,5289.75,940.39,2135.65,2713.76,4544.39,917.7,543.09,3959.98,3659.39,797.09,2602.52,1203.63,4168.61,893.9,2902.12,595.29,2376.74,"Fortaleza"
"Boa Vista",5779.05,4184.19,4662.03,4138.39,3777.29,3075.77,4745.07,5046.94,5289.75,0,6034.13,3971.62,4714.81,745.36,6207.45,5832.84,5200.15,1630.36,6086.84,5026.63,5584.47,2139.58,4977.36,4604.86,5090.99,5175.55,"Boa Vista"
"Maceió",273.56,2317.23,1792.93,1895.74,2833.77,2961.12,2812.8,3100.02,940.39,6034.13,0,2101.75,2706.28,5288.77,376.16,545.45,3545.26,4403.77,255.55,2079.47,581.4,4909.6,1834.29,2378.33,1410.48,1754.51,"Maceió"
"Goiânia",1843.85,2001.16,875.05,206.01,841.08,898.6,1198.66,1500.53,2135.65,3971.62,2101.75,0,837.12,3226.26,2446.45,2423.24,1824.33,2341.26,2325.84,1304.84,1648.42,2850.48,2218.64,909.96,1889.72,1389.29,"Goiânia"
"Palmas",2452.04,1211.67,1395.46,810.54,937.52,1641.46,1249.39,1535.9,2713.76,4714.81,2706.28,837.12,0,3969.45,3052.45,3027.77,1981.88,3084.45,2934.04,1237.62,2256.62,3593.67,2004.84,809.31,2118.47,1757.38,"Palmas"
"Manaus",5033.69,3438.83,3916.67,3393.03,3031.93,2330.41,3999.71,4301.58,4544.39,745.36,5288.77,3226.26,3969.45,0,5462.09,5087.48,4454.79,885,5341.48,4281.27,4839.11,1394.22,4232,3859.5,4345.63,4430.19,"Manaus"
"João Pessoa",621.93,2182.29,2139.11,2241.91,3182.14,3303.71,3159.03,3446.2,917.7,6207.45,376.16,2446.45,3052.45,5462.09,0,412.71,3892.19,4577.09,120.61,2425.65,927.58,5086.31,1703.18,2724.51,1275.54,1986.87,"João Pessoa"
"Natal",793.42,2045.18,2223.64,2217.23,3263.62,3278.99,3244.23,3530.73,543.09,5832.84,545.45,2423.24,3027.77,5087.48,412.71,0,3976.72,4202.48,292.1,2510.18,1099.07,4711.7,1436.99,2809.04,1138.38,2158.36,"Natal"
"Porto Alegre",3291.03,3193.55,1753.08,2030.34,1422.86,2126.8,747.86,459.02,3959.98,5200.15,3545.26,1824.33,1981.88,4454.79,3892.19,3976.72,0,3569.79,3773.02,1600.88,3095.6,4079.01,3986.72,1172.57,3714.05,2106.53,"Porto Alegre"
"Porto Velho",4148.69,2553.83,3031.67,2508.03,2146.93,1445.41,3114.71,3416.58,3659.39,1630.36,4403.77,2341.26,3084.45,885,4577.09,4202.48,3569.79,0,4456.48,3396.27,3954.11,509.22,3347,2974.5,3460.63,3545.19,"Porto Velho"
"Recife",501.32,2061.68,2020.69,2123.5,3061.53,3185.21,3040.56,3327.78,797.09,6086.84,255.55,2325.84,2934.04,5341.48,120.61,292.1,3773.02,4456.48,0,2307.23,809.16,4965.7,1582.57,2606.09,1154.93,1866.26,"Recife"
"Rio de Janeiro",1825.24,2449.29,438.21,1174.44,1438.34,1953.69,868.39,1154.9,2602.52,5026.63,2079.47,1304.84,1237.62,4281.27,2425.65,2510.18,1600.88,3396.27,2307.23,0,1629.81,3905.49,2837.16,448.94,2449.12,519.76,"Rio de Janeiro"
"Salvador",327.17,2058.69,1343.27,1446.08,2489.5,2511.46,2363.14,2649.74,1203.63,5584.47,581.4,1648.42,2256.62,4839.11,927.58,1099.07,3095.6,3954.11,809.16,1629.81,0,4459.94,1579.59,1928.67,1151.94,1173.11,"Salvador"
"Rio Branco",4655.36,3063.05,3540.89,3013.86,2656.15,1954.63,3623.93,3925.8,4168.61,2139.58,4909.6,2850.48,3593.67,1394.22,5086.31,4711.7,4079.01,509.22,4965.7,3905.49,4459.94,0,3856.22,3480.34,3969.85,4054.41,"Rio Branco"
"São Luís",1906.76,793.17,2407.34,2012.63,2942.36,3078.01,3254.23,3540.74,893.9,4977.36,1834.29,2218.64,2004.84,4232,1703.18,1436.99,3986.72,3347,1582.57,2837.16,1579.59,3856.22,0,2814.15,427.69,2752.7,"São Luís"
"São Paulo",2124.1,2020.98,586.15,1018.53,993.29,1531.93,440.08,726.59,2902.12,4604.86,2378.33,909.96,809.31,3859.5,2724.51,2809.04,1172.57,2974.5,2606.09,448.94,1928.67,3480.34,2814.15,0,2605.46,954.59,"São Paulo"
"Teresina",1479.11,906.8,2019.31,1683.71,2730.1,2745.28,3024.88,3326.4,595.29,5090.99,1410.48,1889.72,2118.47,4345.63,1275.54,1138.38,3714.05,3460.63,1154.93,2449.12,1151.94,3969.85,427.69,2605.46,0,2325.05,"Teresina"
"Vitória",1500.28,2969.05,514.24,1249.29,1783.77,2102.59,1374.04,1660.55,2376.74,5175.55,1754.51,1389.29,1757.38,4430.19,1986.87,2158.36,2106.53,3545.19,1866.26,519.76,1173.11,4054.41,2752.7,954.59,2325.05,0,"Vitória"
